error_00,error_01,error_10,error_11,mean_absolute_error,iterations,learning_rate
-0.45309234,0.56049933,0.55994164,-0.43854136,0.50301867,500,0.01
-0.20682742,0.77956237,0.86110059,-0.14229584,0.49744656,500,0.01
-0.48868451,0.47732536,0.52916236,-0.50138419,0.49913911,500,0.01
-0.03141398,0.96339515,0.9674316,-0.03763898,0.49996993,500,0.02
-0.49399253,0.51845646,0.55251409,-0.43284061,0.49945093,500,0.02
-0.10165084,0.90000354,0.90936378,-0.07860502,0.49740579,500,0.02
-0.43873133,0.56559192,0.5094513,-0.47265753,0.49660802,500,0.03
-0.50595719,0.37393318,0.47617921,-0.61106963,0.4917848,500,0.03
-0.36220843,0.68290844,0.3670122,-0.43442299,0.46163801,500,0.05
-0.50374376,0.47542084,0.43579569,-0.57181077,0.49669277,500,0.05
-0.51736241,0.48836413,0.52159816,-0.46818283,0.49887688,500,0.1
-0.40325278,0.43869694,0.56913305,-0.52352992,0.48365317,500,0.1
-0.40274798,0.47070084,0.57326211,-0.50439094,0.48777547,500,0.2
-0.54619024,0.52345539,0.40284438,-0.5134934,0.49649585,500,0.2
-0.33147161,0.70411433,0.58726281,-0.27682209,0.47491771,500,0.3
-0.39374827,0.36276955,0.21628033,-0.70158956,0.41859692,500,0.3
-0.44416467,0.53220686,0.54136931,-0.47382792,0.49789219,500,0.4
-0.47328874,0.2453578,0.24227285,-0.74371187,0.42615781,500,0.4
-0.54644764,0.44607209,0.4692765,-0.53869193,0.50012204,500,0.5
-0.39379645,0.63230158,0.59907336,-0.3658859,0.49776432,500,0.5
-0.4768964,0.248956,0.36250688,-0.550427,0.40969657,500,0.5
-0.22262379,0.79967858,0.41178267,-0.26503889,0.42478098,500,0.6
-0.56730812,0.50575586,0.34656845,-0.52703978,0.48666805,500,0.6
-0.38731588,0.60505107,0.64374459,-0.32109997,0.48930288,500,0.7
-0.3718237,0.40219749,0.50785559,-0.5354684,0.45433629,500,0.7
-0.38453829,0.45725389,0.11922072,-0.56308837,0.38102532,500,0.8
-0.28899032,0.8071481,0.6120153,-0.21882946,0.48174579,500,0.8
-0.54737883,0.36414668,0.37948973,-0.67469851,0.49142844,500,0.9
-0.34989014,0.19645685,0.47748629,-0.24651835,0.31758791,500,0.9
-0.25714014,0.20042086,0.54556451,-0.27601431,0.31978496,500,1.0
-0.35500511,0.30661575,0.68954088,-0.2824754,0.40840929,500,1.0
-0.19455848,0.4500214,0.1255289,-0.21371522,0.245956,500,1.1
-0.37497143,0.47641565,0.47241127,-0.56383724,0.4719089,500,1.1
-0.21180019,0.24164451,0.288248,-0.31423121,0.26398098,500,1.2
-0.09532661,0.70273965,0.39063248,-0.34143208,0.38253271,500,1.2
-0.14195673,0.21558706,0.29855182,-0.37907574,0.25879284,500,1.3
-0.34686593,0.34094253,0.081338,-0.69732671,0.36661829,500,1.3
-0.28446482,0.28858804,0.24417213,-0.75297615,0.39255029,500,1.4
-0.28188243,0.47937009,0.4222114,-0.22931603,0.35319499,500,1.4
-0.09707146,0.53547087,0.50805428,-0.49007102,0.40766691,500,1.5
-0.10099952,0.4221753,0.25646275,-0.62370302,0.35083515,500,1.5
-0.09588515,0.19874854,0.56630974,-0.31800602,0.29473736,500,1.6
-0.21323117,0.03769823,0.21507057,-0.8177726,0.32094314,500,1.6
-0.5821523820458904,0.4854585614029844,0.4179704047031413,-0.513287048780863,0.4997170992332197,1000,0.01
-0.5166616757523881,0.6508465523084759,0.31221983698206535,-0.5665685378857465,0.5115741507321689,1000,0.01
